branch_name	release_date	serie_folder	set_folder	card_count	priority_tier	priority_score	localized_additions	net_insertions	excluded_reason
pr/EX-Crystal-Guardians	2006-08-30	EX	Crystal Guardians	6	2	127	14	9	
pr/EX-Holon-Phantoms	2006-05-03	EX	Holon Phantoms	11	2	230	26	11	
pr/EX-Legend-Maker	2006-02-13	EX	Legend Maker	10	2	210	24	8	
pr/EX-Delta-Species	2005-10-31	EX	Delta Species	12	2	209	24	5	
pr/EX-Unseen-Forces	2005-08-22	EX	Unseen Forces	7	2	124	14	5	
pr/EX-Emerald	2005-05-09	EX	Emerald	9	2	156	18	3	
pr/EX-Deoxys	2005-02-01	EX	Deoxys	7	2	122	14	3	
pr/EX-FireRed-LeafGreen	2004-09-01	EX	FireRed & LeafGreen	6	2	103	12	1	
pr/EX-Hidden-Legends	2004-06-01	EX	Hidden Legends	8	2	197	22	13	
pr/EX-Team-Magma-vs-Team-Aqua	2004-03-01	EX	Team Magma vs Team Aqua	10	2	172	20	2	
pr/EX-Dragon	2003-11-24	EX	Dragon	4	2	68	8	0	
pr/EX-Sandstorm	2003-09-18	EX	Sandstorm	5	2	124	14	7	
pr/EX-Ruby-Sapphire	2003-07-01	EX	Ruby & Sapphire	5	2	88	10	3	
pr/E-Card-Expedition-Base-Set	2002-09-15	E-Card	Expedition Base Set	9	2	175	20	6	
pr/Neo-Neo-Destiny	2002-02-28	Neo	Neo Destiny	5	2	86	10	1	
pr/Neo-Neo-Genesis	2000-12-16	Neo	Neo Genesis	4	2	71	8	3	
pr/Base-Team-Rocket	2000-04-24	Base	Team Rocket	4	2	72	8	4	
pr/Mega-Evolution-Ascended-Heroes	2026-01-30	Mega Evolution	Ascended Heroes	243	3	606	0	486	
pr/Mega-Evolution-Mega-Evolution	2025-09-26	Mega Evolution	Mega Evolution	3	3	51	6	0	
pr/Scarlet-Violet-151	2023-09-22	Scarlet & Violet	151	3	3	51	6	0	
pr/Scarlet-Violet-Paldea-Evolved	2023-06-09	Scarlet & Violet	Paldea Evolved	3	3	51	6	0	
pr/Sun-Moon-Celestial-Storm	2018-08-03	Sun & Moon	Celestial Storm	3	3	51	6	0	
pr/Sun-Moon-SM-Black-Star-Promos	2017-02-03	Sun & Moon	SM Black Star Promos	244	3	156	0	36	
pr/XY-Ancient-Origins	2015-08-12	XY	Ancient Origins	3	3	51	6	0	
pr/XY-XY-Black-Star-Promos	2013-10-12	XY	XY Black Star Promos	216	3	153	2	17	
