serie_folder	set_folder	branch_name	card_count	path_count	paths_json	serie_id	set_id	pr_status	pr_url
McDonald's Collection	Collection McDonald's 2018	pr/McDonald-s-Collection-Collection-McDonald-s-2018	40	41	["data/McDonald's Collection/Collection McDonald's 2018.ts", "data/McDonald's Collection/Collection McDonald's 2018/1.ts", "data/McDonald's Collection/Collection McDonald's 2018/10.ts", "data/McDonald's Collection/Collection McDonald's 2018/11.ts", "data/McDonald's Collection/Collection McDonald's 2018/12.ts", "data/McDonald's Collection/Collection McDonald's 2018/13.ts", "data/McDonald's Collection/Collection McDonald's 2018/14.ts", "data/McDonald's Collection/Collection McDonald's 2018/15.ts", "data/McDonald's Collection/Collection McDonald's 2018/16.ts", "data/McDonald's Collection/Collection McDonald's 2018/17.ts", "data/McDonald's Collection/Collection McDonald's 2018/18.ts", "data/McDonald's Collection/Collection McDonald's 2018/19.ts", "data/McDonald's Collection/Collection McDonald's 2018/2.ts", "data/McDonald's Collection/Collection McDonald's 2018/20.ts", "data/McDonald's Collection/Collection McDonald's 2018/21.ts", "data/McDonald's Collection/Collection McDonald's 2018/22.ts", "data/McDonald's Collection/Collection McDonald's 2018/23.ts", "data/McDonald's Collection/Collection McDonald's 2018/24.ts", "data/McDonald's Collection/Collection McDonald's 2018/25.ts", "data/McDonald's Collection/Collection McDonald's 2018/26.ts", "data/McDonald's Collection/Collection McDonald's 2018/27.ts", "data/McDonald's Collection/Collection McDonald's 2018/28.ts", "data/McDonald's Collection/Collection McDonald's 2018/29.ts", "data/McDonald's Collection/Collection McDonald's 2018/3.ts", "data/McDonald's Collection/Collection McDonald's 2018/30.ts", "data/McDonald's Collection/Collection McDonald's 2018/31.ts", "data/McDonald's Collection/Collection McDonald's 2018/32.ts", "data/McDonald's Collection/Collection McDonald's 2018/33.ts", "data/McDonald's Collection/Collection McDonald's 2018/34.ts", "data/McDonald's Collection/Collection McDonald's 2018/35.ts", "data/McDonald's Collection/Collection McDonald's 2018/36.ts", "data/McDonald's Collection/Collection McDonald's 2018/37.ts", "data/McDonald's Collection/Collection McDonald's 2018/38.ts", "data/McDonald's Collection/Collection McDonald's 2018/39.ts", "data/McDonald's Collection/Collection McDonald's 2018/4.ts", "data/McDonald's Collection/Collection McDonald's 2018/40.ts", "data/McDonald's Collection/Collection McDonald's 2018/5.ts", "data/McDonald's Collection/Collection McDonald's 2018/6.ts", "data/McDonald's Collection/Collection McDonald's 2018/7.ts", "data/McDonald's Collection/Collection McDonald's 2018/8.ts", "data/McDonald's Collection/Collection McDonald's 2018/9.ts"]	mc	2018sm-fr	pending	
McDonald's Collection	Collection McDonald's 2019	pr/McDonald-s-Collection-Collection-McDonald-s-2019	40	41	["data/McDonald's Collection/Collection McDonald's 2019.ts", "data/McDonald's Collection/Collection McDonald's 2019/1.ts", "data/McDonald's Collection/Collection McDonald's 2019/10.ts", "data/McDonald's Collection/Collection McDonald's 2019/11.ts", "data/McDonald's Collection/Collection McDonald's 2019/12.ts", "data/McDonald's Collection/Collection McDonald's 2019/13.ts", "data/McDonald's Collection/Collection McDonald's 2019/14.ts", "data/McDonald's Collection/Collection McDonald's 2019/15.ts", "data/McDonald's Collection/Collection McDonald's 2019/16.ts", "data/McDonald's Collection/Collection McDonald's 2019/17.ts", "data/McDonald's Collection/Collection McDonald's 2019/18.ts", "data/McDonald's Collection/Collection McDonald's 2019/19.ts", "data/McDonald's Collection/Collection McDonald's 2019/2.ts", "data/McDonald's Collection/Collection McDonald's 2019/20.ts", "data/McDonald's Collection/Collection McDonald's 2019/21.ts", "data/McDonald's Collection/Collection McDonald's 2019/22.ts", "data/McDonald's Collection/Collection McDonald's 2019/23.ts", "data/McDonald's Collection/Collection McDonald's 2019/24.ts", "data/McDonald's Collection/Collection McDonald's 2019/25.ts", "data/McDonald's Collection/Collection McDonald's 2019/26.ts", "data/McDonald's Collection/Collection McDonald's 2019/27.ts", "data/McDonald's Collection/Collection McDonald's 2019/28.ts", "data/McDonald's Collection/Collection McDonald's 2019/29.ts", "data/McDonald's Collection/Collection McDonald's 2019/3.ts", "data/McDonald's Collection/Collection McDonald's 2019/30.ts", "data/McDonald's Collection/Collection McDonald's 2019/31.ts", "data/McDonald's Collection/Collection McDonald's 2019/32.ts", "data/McDonald's Collection/Collection McDonald's 2019/33.ts", "data/McDonald's Collection/Collection McDonald's 2019/34.ts", "data/McDonald's Collection/Collection McDonald's 2019/35.ts", "data/McDonald's Collection/Collection McDonald's 2019/36.ts", "data/McDonald's Collection/Collection McDonald's 2019/37.ts", "data/McDonald's Collection/Collection McDonald's 2019/38.ts", "data/McDonald's Collection/Collection McDonald's 2019/39.ts", "data/McDonald's Collection/Collection McDonald's 2019/4.ts", "data/McDonald's Collection/Collection McDonald's 2019/40.ts", "data/McDonald's Collection/Collection McDonald's 2019/5.ts", "data/McDonald's Collection/Collection McDonald's 2019/6.ts", "data/McDonald's Collection/Collection McDonald's 2019/7.ts", "data/McDonald's Collection/Collection McDonald's 2019/8.ts", "data/McDonald's Collection/Collection McDonald's 2019/9.ts"]	mc	2019sm-fr	pending	
McDonald's Collection	McDonald's Collection 2011	pr/McDonald-s-Collection-McDonald-s-Collection-2011	12	13	["data/McDonald's Collection/McDonald's Collection 2011.ts", "data/McDonald's Collection/McDonald's Collection 2011/1.ts", "data/McDonald's Collection/McDonald's Collection 2011/10.ts", "data/McDonald's Collection/McDonald's Collection 2011/11.ts", "data/McDonald's Collection/McDonald's Collection 2011/12.ts", "data/McDonald's Collection/McDonald's Collection 2011/2.ts", "data/McDonald's Collection/McDonald's Collection 2011/3.ts", "data/McDonald's Collection/McDonald's Collection 2011/4.ts", "data/McDonald's Collection/McDonald's Collection 2011/5.ts", "data/McDonald's Collection/McDonald's Collection 2011/6.ts", "data/McDonald's Collection/McDonald's Collection 2011/7.ts", "data/McDonald's Collection/McDonald's Collection 2011/8.ts", "data/McDonald's Collection/McDonald's Collection 2011/9.ts"]	mc	2011bw	pending	
McDonald's Collection	McDonald's Collection 2012	pr/McDonald-s-Collection-McDonald-s-Collection-2012	12	13	["data/McDonald's Collection/McDonald's Collection 2012.ts", "data/McDonald's Collection/McDonald's Collection 2012/1.ts", "data/McDonald's Collection/McDonald's Collection 2012/10.ts", "data/McDonald's Collection/McDonald's Collection 2012/11.ts", "data/McDonald's Collection/McDonald's Collection 2012/12.ts", "data/McDonald's Collection/McDonald's Collection 2012/2.ts", "data/McDonald's Collection/McDonald's Collection 2012/3.ts", "data/McDonald's Collection/McDonald's Collection 2012/4.ts", "data/McDonald's Collection/McDonald's Collection 2012/5.ts", "data/McDonald's Collection/McDonald's Collection 2012/6.ts", "data/McDonald's Collection/McDonald's Collection 2012/7.ts", "data/McDonald's Collection/McDonald's Collection 2012/8.ts", "data/McDonald's Collection/McDonald's Collection 2012/9.ts"]	mc	2012bw	pending	
McDonald's Collection	McDonald's Collection 2014	pr/McDonald-s-Collection-McDonald-s-Collection-2014	12	13	["data/McDonald's Collection/McDonald's Collection 2014.ts", "data/McDonald's Collection/McDonald's Collection 2014/1.ts", "data/McDonald's Collection/McDonald's Collection 2014/10.ts", "data/McDonald's Collection/McDonald's Collection 2014/11.ts", "data/McDonald's Collection/McDonald's Collection 2014/12.ts", "data/McDonald's Collection/McDonald's Collection 2014/2.ts", "data/McDonald's Collection/McDonald's Collection 2014/3.ts", "data/McDonald's Collection/McDonald's Collection 2014/4.ts", "data/McDonald's Collection/McDonald's Collection 2014/5.ts", "data/McDonald's Collection/McDonald's Collection 2014/6.ts", "data/McDonald's Collection/McDonald's Collection 2014/7.ts", "data/McDonald's Collection/McDonald's Collection 2014/8.ts", "data/McDonald's Collection/McDonald's Collection 2014/9.ts"]	mc	2014xy	pending	
McDonald's Collection	McDonald's Collection 2015	pr/McDonald-s-Collection-McDonald-s-Collection-2015	12	13	["data/McDonald's Collection/McDonald's Collection 2015.ts", "data/McDonald's Collection/McDonald's Collection 2015/1.ts", "data/McDonald's Collection/McDonald's Collection 2015/10.ts", "data/McDonald's Collection/McDonald's Collection 2015/11.ts", "data/McDonald's Collection/McDonald's Collection 2015/12.ts", "data/McDonald's Collection/McDonald's Collection 2015/2.ts", "data/McDonald's Collection/McDonald's Collection 2015/3.ts", "data/McDonald's Collection/McDonald's Collection 2015/4.ts", "data/McDonald's Collection/McDonald's Collection 2015/5.ts", "data/McDonald's Collection/McDonald's Collection 2015/6.ts", "data/McDonald's Collection/McDonald's Collection 2015/7.ts", "data/McDonald's Collection/McDonald's Collection 2015/8.ts", "data/McDonald's Collection/McDonald's Collection 2015/9.ts"]	mc	2015xy	pending	
McDonald's Collection	McDonald's Collection 2016	pr/McDonald-s-Collection-McDonald-s-Collection-2016	12	13	["data/McDonald's Collection/McDonald's Collection 2016.ts", "data/McDonald's Collection/McDonald's Collection 2016/1.ts", "data/McDonald's Collection/McDonald's Collection 2016/10.ts", "data/McDonald's Collection/McDonald's Collection 2016/11.ts", "data/McDonald's Collection/McDonald's Collection 2016/12.ts", "data/McDonald's Collection/McDonald's Collection 2016/2.ts", "data/McDonald's Collection/McDonald's Collection 2016/3.ts", "data/McDonald's Collection/McDonald's Collection 2016/4.ts", "data/McDonald's Collection/McDonald's Collection 2016/5.ts", "data/McDonald's Collection/McDonald's Collection 2016/6.ts", "data/McDonald's Collection/McDonald's Collection 2016/7.ts", "data/McDonald's Collection/McDonald's Collection 2016/8.ts", "data/McDonald's Collection/McDonald's Collection 2016/9.ts"]	mc	2016xy	pending	
McDonald's Collection	McDonald's Collection 2017	pr/McDonald-s-Collection-McDonald-s-Collection-2017	12	13	["data/McDonald's Collection/McDonald's Collection 2017.ts", "data/McDonald's Collection/McDonald's Collection 2017/1.ts", "data/McDonald's Collection/McDonald's Collection 2017/10.ts", "data/McDonald's Collection/McDonald's Collection 2017/11.ts", "data/McDonald's Collection/McDonald's Collection 2017/12.ts", "data/McDonald's Collection/McDonald's Collection 2017/2.ts", "data/McDonald's Collection/McDonald's Collection 2017/3.ts", "data/McDonald's Collection/McDonald's Collection 2017/4.ts", "data/McDonald's Collection/McDonald's Collection 2017/5.ts", "data/McDonald's Collection/McDonald's Collection 2017/6.ts", "data/McDonald's Collection/McDonald's Collection 2017/7.ts", "data/McDonald's Collection/McDonald's Collection 2017/8.ts", "data/McDonald's Collection/McDonald's Collection 2017/9.ts"]	mc	2017sm	pending	
McDonald's Collection	McDonald's Collection 2018	pr/McDonald-s-Collection-McDonald-s-Collection-2018	12	13	["data/McDonald's Collection/McDonald's Collection 2018.ts", "data/McDonald's Collection/McDonald's Collection 2018/1.ts", "data/McDonald's Collection/McDonald's Collection 2018/10.ts", "data/McDonald's Collection/McDonald's Collection 2018/11.ts", "data/McDonald's Collection/McDonald's Collection 2018/12.ts", "data/McDonald's Collection/McDonald's Collection 2018/2.ts", "data/McDonald's Collection/McDonald's Collection 2018/3.ts", "data/McDonald's Collection/McDonald's Collection 2018/4.ts", "data/McDonald's Collection/McDonald's Collection 2018/5.ts", "data/McDonald's Collection/McDonald's Collection 2018/6.ts", "data/McDonald's Collection/McDonald's Collection 2018/7.ts", "data/McDonald's Collection/McDonald's Collection 2018/8.ts", "data/McDonald's Collection/McDonald's Collection 2018/9.ts"]	mc	2018sm	pending	
McDonald's Collection	McDonald's Collection 2019	pr/McDonald-s-Collection-McDonald-s-Collection-2019	12	13	["data/McDonald's Collection/McDonald's Collection 2019.ts", "data/McDonald's Collection/McDonald's Collection 2019/1.ts", "data/McDonald's Collection/McDonald's Collection 2019/10.ts", "data/McDonald's Collection/McDonald's Collection 2019/11.ts", "data/McDonald's Collection/McDonald's Collection 2019/12.ts", "data/McDonald's Collection/McDonald's Collection 2019/2.ts", "data/McDonald's Collection/McDonald's Collection 2019/3.ts", "data/McDonald's Collection/McDonald's Collection 2019/4.ts", "data/McDonald's Collection/McDonald's Collection 2019/5.ts", "data/McDonald's Collection/McDonald's Collection 2019/6.ts", "data/McDonald's Collection/McDonald's Collection 2019/7.ts", "data/McDonald's Collection/McDonald's Collection 2019/8.ts", "data/McDonald's Collection/McDonald's Collection 2019/9.ts"]	mc	2019sm	pending	
McDonald's Collection	McDonald's Collection 2021	pr/McDonald-s-Collection-McDonald-s-Collection-2021	25	26	["data/McDonald's Collection/McDonald's Collection 2021.ts", "data/McDonald's Collection/McDonald's Collection 2021/1.ts", "data/McDonald's Collection/McDonald's Collection 2021/10.ts", "data/McDonald's Collection/McDonald's Collection 2021/11.ts", "data/McDonald's Collection/McDonald's Collection 2021/12.ts", "data/McDonald's Collection/McDonald's Collection 2021/13.ts", "data/McDonald's Collection/McDonald's Collection 2021/14.ts", "data/McDonald's Collection/McDonald's Collection 2021/15.ts", "data/McDonald's Collection/McDonald's Collection 2021/16.ts", "data/McDonald's Collection/McDonald's Collection 2021/17.ts", "data/McDonald's Collection/McDonald's Collection 2021/18.ts", "data/McDonald's Collection/McDonald's Collection 2021/19.ts", "data/McDonald's Collection/McDonald's Collection 2021/2.ts", "data/McDonald's Collection/McDonald's Collection 2021/20.ts", "data/McDonald's Collection/McDonald's Collection 2021/21.ts", "data/McDonald's Collection/McDonald's Collection 2021/22.ts", "data/McDonald's Collection/McDonald's Collection 2021/23.ts", "data/McDonald's Collection/McDonald's Collection 2021/24.ts", "data/McDonald's Collection/McDonald's Collection 2021/25.ts", "data/McDonald's Collection/McDonald's Collection 2021/3.ts", "data/McDonald's Collection/McDonald's Collection 2021/4.ts", "data/McDonald's Collection/McDonald's Collection 2021/5.ts", "data/McDonald's Collection/McDonald's Collection 2021/6.ts", "data/McDonald's Collection/McDonald's Collection 2021/7.ts", "data/McDonald's Collection/McDonald's Collection 2021/8.ts", "data/McDonald's Collection/McDonald's Collection 2021/9.ts"]	mc	2021swsh	pending	
McDonald's Collection	McDonald's Collection 2022	pr/McDonald-s-Collection-McDonald-s-Collection-2022	15	16	["data/McDonald's Collection/McDonald's Collection 2022.ts", "data/McDonald's Collection/McDonald's Collection 2022/1.ts", "data/McDonald's Collection/McDonald's Collection 2022/10.ts", "data/McDonald's Collection/McDonald's Collection 2022/11.ts", "data/McDonald's Collection/McDonald's Collection 2022/12.ts", "data/McDonald's Collection/McDonald's Collection 2022/13.ts", "data/McDonald's Collection/McDonald's Collection 2022/14.ts", "data/McDonald's Collection/McDonald's Collection 2022/15.ts", "data/McDonald's Collection/McDonald's Collection 2022/2.ts", "data/McDonald's Collection/McDonald's Collection 2022/3.ts", "data/McDonald's Collection/McDonald's Collection 2022/4.ts", "data/McDonald's Collection/McDonald's Collection 2022/5.ts", "data/McDonald's Collection/McDonald's Collection 2022/6.ts", "data/McDonald's Collection/McDonald's Collection 2022/7.ts", "data/McDonald's Collection/McDonald's Collection 2022/8.ts", "data/McDonald's Collection/McDonald's Collection 2022/9.ts"]	mc	2022swsh	pending	
McDonald's Collection	McDonald's Collection 2023	pr/McDonald-s-Collection-McDonald-s-Collection-2023	15	16	["data/McDonald's Collection/McDonald's Collection 2023.ts", "data/McDonald's Collection/McDonald's Collection 2023/1.ts", "data/McDonald's Collection/McDonald's Collection 2023/10.ts", "data/McDonald's Collection/McDonald's Collection 2023/11.ts", "data/McDonald's Collection/McDonald's Collection 2023/12.ts", "data/McDonald's Collection/McDonald's Collection 2023/13.ts", "data/McDonald's Collection/McDonald's Collection 2023/14.ts", "data/McDonald's Collection/McDonald's Collection 2023/15.ts", "data/McDonald's Collection/McDonald's Collection 2023/2.ts", "data/McDonald's Collection/McDonald's Collection 2023/3.ts", "data/McDonald's Collection/McDonald's Collection 2023/4.ts", "data/McDonald's Collection/McDonald's Collection 2023/5.ts", "data/McDonald's Collection/McDonald's Collection 2023/6.ts", "data/McDonald's Collection/McDonald's Collection 2023/7.ts", "data/McDonald's Collection/McDonald's Collection 2023/8.ts", "data/McDonald's Collection/McDonald's Collection 2023/9.ts"]	mc	2023sv	pending	
McDonald's Collection	McDonald's Collection 2024	pr/McDonald-s-Collection-McDonald-s-Collection-2024	15	16	["data/McDonald's Collection/McDonald's Collection 2024.ts", "data/McDonald's Collection/McDonald's Collection 2024/1.ts", "data/McDonald's Collection/McDonald's Collection 2024/10.ts", "data/McDonald's Collection/McDonald's Collection 2024/11.ts", "data/McDonald's Collection/McDonald's Collection 2024/12.ts", "data/McDonald's Collection/McDonald's Collection 2024/13.ts", "data/McDonald's Collection/McDonald's Collection 2024/14.ts", "data/McDonald's Collection/McDonald's Collection 2024/15.ts", "data/McDonald's Collection/McDonald's Collection 2024/2.ts", "data/McDonald's Collection/McDonald's Collection 2024/3.ts", "data/McDonald's Collection/McDonald's Collection 2024/4.ts", "data/McDonald's Collection/McDonald's Collection 2024/5.ts", "data/McDonald's Collection/McDonald's Collection 2024/6.ts", "data/McDonald's Collection/McDonald's Collection 2024/7.ts", "data/McDonald's Collection/McDonald's Collection 2024/8.ts", "data/McDonald's Collection/McDonald's Collection 2024/9.ts"]	mc	2024sv	pending	
McDonald's Collection	Promo McDonald's 2013	pr/McDonald-s-Collection-Promo-McDonald-s-2013	1	1	["data/McDonald's Collection/Promo McDonald's 2013/4.ts"]	mc	2013bw	pending	
