serie_folder	set_folder	branch_name	card_count	path_count	paths_json	serie_id	set_id	pr_status	pr_url
Diamond & Pearl	Legends Awakened	pr/Diamond-Pearl-Legends-Awakened	8	8	["data/Diamond & Pearl/Legends Awakened/130.ts", "data/Diamond & Pearl/Legends Awakened/131.ts", "data/Diamond & Pearl/Legends Awakened/134.ts", "data/Diamond & Pearl/Legends Awakened/135.ts", "data/Diamond & Pearl/Legends Awakened/136.ts", "data/Diamond & Pearl/Legends Awakened/137.ts", "data/Diamond & Pearl/Legends Awakened/138.ts", "data/Diamond & Pearl/Legends Awakened/139.ts"]	dp	dp6	pending	
Diamond & Pearl	Majestic Dawn	pr/Diamond-Pearl-Majestic-Dawn	5	5	["data/Diamond & Pearl/Majestic Dawn/65.ts", "data/Diamond & Pearl/Majestic Dawn/79.ts", "data/Diamond & Pearl/Majestic Dawn/82.ts", "data/Diamond & Pearl/Majestic Dawn/84.ts", "data/Diamond & Pearl/Majestic Dawn/89.ts"]	dp	dp5	pending	
Diamond & Pearl	Mysterious Treasures	pr/Diamond-Pearl-Mysterious-Treasures	10	10	["data/Diamond & Pearl/Mysterious Treasures/109.ts", "data/Diamond & Pearl/Mysterious Treasures/111.ts", "data/Diamond & Pearl/Mysterious Treasures/112.ts", "data/Diamond & Pearl/Mysterious Treasures/114.ts", "data/Diamond & Pearl/Mysterious Treasures/115.ts", "data/Diamond & Pearl/Mysterious Treasures/116.ts", "data/Diamond & Pearl/Mysterious Treasures/117.ts", "data/Diamond & Pearl/Mysterious Treasures/118.ts", "data/Diamond & Pearl/Mysterious Treasures/119.ts", "data/Diamond & Pearl/Mysterious Treasures/120.ts"]	dp	dp2	pending	
Diamond & Pearl	Secret Wonders	pr/Diamond-Pearl-Secret-Wonders	1	1	["data/Diamond & Pearl/Secret Wonders/124.ts"]	dp	dp3	pending	
Diamond & Pearl	Stormfront	pr/Diamond-Pearl-Stormfront	3	3	["data/Diamond & Pearl/Stormfront/82.ts", "data/Diamond & Pearl/Stormfront/87.ts", "data/Diamond & Pearl/Stormfront/97.ts"]	dp	dp7	pending	
E-Card	Aquapolis	pr/E-Card-Aquapolis	23	23	["data/E-Card/Aquapolis/118.ts", "data/E-Card/Aquapolis/119.ts", "data/E-Card/Aquapolis/121.ts", "data/E-Card/Aquapolis/122.ts", "data/E-Card/Aquapolis/123.ts", "data/E-Card/Aquapolis/126.ts", "data/E-Card/Aquapolis/129.ts", "data/E-Card/Aquapolis/130.ts", "data/E-Card/Aquapolis/131.ts", "data/E-Card/Aquapolis/132.ts", "data/E-Card/Aquapolis/133.ts", "data/E-Card/Aquapolis/136.ts", "data/E-Card/Aquapolis/137.ts", "data/E-Card/Aquapolis/138.ts", "data/E-Card/Aquapolis/139.ts", "data/E-Card/Aquapolis/140.ts", "data/E-Card/Aquapolis/141.ts", "data/E-Card/Aquapolis/142.ts", "data/E-Card/Aquapolis/143.ts", "data/E-Card/Aquapolis/144.ts", "data/E-Card/Aquapolis/145.ts", "data/E-Card/Aquapolis/146.ts", "data/E-Card/Aquapolis/147.ts"]	ecard	ecard2	pending	
E-Card	Expedition Base Set	pr/E-Card-Expedition-Base-Set	9	9	["data/E-Card/Expedition Base Set/137.ts", "data/E-Card/Expedition Base Set/138.ts", "data/E-Card/Expedition Base Set/142.ts", "data/E-Card/Expedition Base Set/144.ts", "data/E-Card/Expedition Base Set/145.ts", "data/E-Card/Expedition Base Set/148.ts", "data/E-Card/Expedition Base Set/149.ts", "data/E-Card/Expedition Base Set/158.ts", "data/E-Card/Expedition Base Set/159.ts"]	ecard	ecard1	pending	
EX	Crystal Guardians	pr/EX-Crystal-Guardians	6	6	["data/EX/Crystal Guardians/21.ts", "data/EX/Crystal Guardians/71.ts", "data/EX/Crystal Guardians/72.ts", "data/EX/Crystal Guardians/73.ts", "data/EX/Crystal Guardians/75.ts", "data/EX/Crystal Guardians/79.ts"]	ex	ex14	pending	
EX	Delta Species	pr/EX-Delta-Species	12	12	["data/EX/Delta Species/103.ts", "data/EX/Delta Species/104.ts", "data/EX/Delta Species/105.ts", "data/EX/Delta Species/106.ts", "data/EX/Delta Species/107.ts", "data/EX/Delta Species/91.ts", "data/EX/Delta Species/92.ts", "data/EX/Delta Species/93.ts", "data/EX/Delta Species/94.ts", "data/EX/Delta Species/95.ts", "data/EX/Delta Species/96.ts", "data/EX/Delta Species/97.ts"]	ex	ex11	pending	
EX	Deoxys	pr/EX-Deoxys	7	7	["data/EX/Deoxys/87.ts", "data/EX/Deoxys/89.ts", "data/EX/Deoxys/90.ts", "data/EX/Deoxys/91.ts", "data/EX/Deoxys/93.ts", "data/EX/Deoxys/94.ts", "data/EX/Deoxys/95.ts"]	ex	ex8	pending	
